neural_network.py 

k = 50
lr = 0.005
num_epoch = 50

Epoch: 15 	Training Cost: 7629.556152	 Valid Acc: 0.678662150719729
Epoch: 16 	Training Cost: 7633.884766	 Valid Acc: 0.6778154106689246
Epoch: 17 	Training Cost: 7638.318359	 Valid Acc: 0.6779565340107254
Epoch: 18 	Training Cost: 7642.865234	 Valid Acc: 0.6783799040361276
Epoch: 19 	Training Cost: 7647.521484	 Valid Acc: 0.6785210273779283
Epoch: 20 	Training Cost: 7652.277344	 Valid Acc: 0.6780976573525261
Epoch: 21 	Training Cost: 7657.136719	 Valid Acc: 0.6779565340107254
Epoch: 22 	Training Cost: 7662.103516	 Valid Acc: 0.6775331639853232
Epoch: 23 	Training Cost: 7667.167969	 Valid Acc: 0.6772509173017217
Epoch: 24 	Training Cost: 7672.338867	 Valid Acc: 0.6769686706181203
Epoch: 25 	Training Cost: 7677.602539	 Valid Acc: 0.6769686706181203
Epoch: 26 	Training Cost: 7682.966309	 Valid Acc: 0.677109793959921
Epoch: 27 	Training Cost: 7688.429199	 Valid Acc: 0.6768275472763196
Epoch: 28 	Training Cost: 7693.991211	 Valid Acc: 0.6768275472763196
Epoch: 29 	Training Cost: 7699.643066	 Valid Acc: 0.6769686706181203
Epoch: 30 	Training Cost: 7705.385742	 Valid Acc: 0.6773920406435224
Epoch: 31 	Training Cost: 7711.224609	 Valid Acc: 0.677109793959921
Epoch: 32 	Training Cost: 7717.159180	 Valid Acc: 0.677109793959921
Epoch: 33 	Training Cost: 7723.177734	 Valid Acc: 0.6762630539091166
Epoch: 34 	Training Cost: 7729.288086	 Valid Acc: 0.6762630539091166
Epoch: 35 	Training Cost: 7735.486328	 Valid Acc: 0.6766864239345187
Epoch: 36 	Training Cost: 7741.772461	 Valid Acc: 0.6768275472763196
Epoch: 37 	Training Cost: 7748.143555	 Valid Acc: 0.6766864239345187
Epoch: 38 	Training Cost: 7754.600586	 Valid Acc: 0.6769686706181203
Epoch: 39 	Training Cost: 7761.138672	 Valid Acc: 0.6766864239345187
Epoch: 40 	Training Cost: 7767.763672	 Valid Acc: 0.6762630539091166
Epoch: 41 	Training Cost: 7774.472168	 Valid Acc: 0.6759808072255151
Epoch: 42 	Training Cost: 7781.256836	 Valid Acc: 0.6755574372001129
Epoch: 43 	Training Cost: 7788.124023	 Valid Acc: 0.6752751905165114
Epoch: 44 	Training Cost: 7795.069824	 Valid Acc: 0.6752751905165114
Epoch: 45 	Training Cost: 7802.092773	 Valid Acc: 0.6751340671747107
Epoch: 46 	Training Cost: 7809.191406	 Valid Acc: 0.67499294383291
Epoch: 47 	Training Cost: 7816.370117	 Valid Acc: 0.6754163138583121
Epoch: 48 	Training Cost: 7823.623535	 Valid Acc: 0.67499294383291
Epoch: 49 	Training Cost: 7830.948242	 Valid Acc: 0.6747106971493085
Lambda: 1 	Validation Acc: 0.674711	Test Acc: 0.674287
