neural_network.py 

k = 50
lr = 0.005
num_epoch = 40
==========================WITHOUT REGULARIZER=========================
Epoch: 26 	Training Cost: 7573.825195	 Valid Acc: 0.6704769968952865
Epoch: 27 	Training Cost: 7574.265625	 Valid Acc: 0.6703358735534858
Epoch: 28 	Training Cost: 7574.854492	 Valid Acc: 0.6703358735534858
Epoch: 29 	Training Cost: 7575.598633	 Valid Acc: 0.6697713801862828
Epoch: 30 	Training Cost: 7576.488281	 Valid Acc: 0.6697713801862828
Epoch: 31 	Training Cost: 7577.526855	 Valid Acc: 0.6697713801862828
Epoch: 32 	Training Cost: 7578.706055	 Valid Acc: 0.6692068868190799
Epoch: 33 	Training Cost: 7580.026855	 Valid Acc: 0.6693480101608806
Epoch: 34 	Training Cost: 7581.494629	 Valid Acc: 0.6694891335026814
Epoch: 35 	Training Cost: 7583.100586	 Valid Acc: 0.6692068868190799
Epoch: 36 	Training Cost: 7584.846191	 Valid Acc: 0.6692068868190799
Epoch: 37 	Training Cost: 7586.722168	 Valid Acc: 0.6685012701100762
Epoch: 38 	Training Cost: 7588.741211	 Valid Acc: 0.6682190234264748
Epoch: 39 	Training Cost: 7590.889160	 Valid Acc: 0.6679367767428732
Lambda: 1 	Validation Acc: 0.667937	Test Acc: 0.674005
